Unnamed: 0,tweet,target
1246,hii logan! new maverick here!!! :D recently I've been watching your vlogs and I'm soo into it. :),0
1927,One of my clients just said that my look reminded her of Kim Kardashian! Oh shoot hey now! Watch out...\nNot bad.. okay flattered,0
1703,When i have nobody to talk to. Nobody to rely on. Trap in my own space. Living becomes so meaningless. ?,1
1864,I don't know how much longer I can play stupid heartbroken stupid sadness,1
1834,"I feel like a mess. God, help me fix myself.",1
1509,I will choose to leave than to live..,1
2156,one hundred and twenty-six ??????????????????????????????four????????????????????????????????????????????????????????????????????? ???????.......????????????????????????????? ????????????.......??????? ??????????????????????????????????????????w ?????????????????????????????????????????????????????????????????????????????????ww ??????????????????????????????????,0
2514,Not only have I posted a blog post daily for two months I've also filmed and uploaded a daily vlog whilst being severely,1
593,everything is coming back to me all of a sudden. This ... is not a good feeling at all,1
817,Laying in bed at one pm. Yesterday's therapy session hit me harder than I thought it would.,1
1473,Yay... a big shout out for my friend . Welcoming her back on twitter. She a terrific writer. Stay tuned for tweets.,0
206,"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??",1
2176,HealthTap: I haven't eaten anything all day because I feel and low What should I do?,1
1664,There are recipes for porkchops w apple cider glaze but has anyone tried the meat steeped in the vinegar ; BBQ w hickory smoke? delicious,0
1794,My boyfriend told me he is tired of my shit. I keep on hearing that sentence out of a big fight. No one realizes that i don't want this shit. I was raped by two men when i was fifteen. And i found out my dad isn't my real dad. My real dad wanted me aborted,1
1055,Mmm..is there any other way to start the day? yummy,0
2423,one hundred and seven ??????????????????????????? ?????????????....... ?????????????????????????? ?????????????????????????????????? ??????????????????????????????? ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????? ?????????.......?????????????????,0
2866,Is it about rabid penguins on a plane,0
2612,I know can be hard to live with don't waste your life help is always available seek it out,0
1063,wish things weren't how they are now. This year has had so much heart trauma. Makes my head spin for hours. Ugh I miss you,1
1177,A pleasure! the directory great way to start exploring new opportunities,0
628,I screwed myself over today by refilling my medication holder with the wrong amount of Zoloft. WTF self. That was dumb.,1
799,I miss her so much ???,0
963,I'm gonna die because of my fucking finals,0
1873,The person who tries to keep everyone happy often end up feeling the loneliest???????? pic.twitter.com/bycoisYJnineA,0
779,"Amazing how you can be so fatigued and unmotivated, then a few sweet words of encouragement can mobilize you in minutes to leave the house. Words like ""He didn't deserve you"" or ""You can get better."" Or ""Chinese food buffet."" I'm not proud but that's where I am.",1
2195,Just realized I was too depressed yesterday I haven't ate,1
872,I just wanna lay up with bae rn,0
1002,I see so many people moving forward with their life and doing great things and here I am doing absolutely nothing???????? pic.twitter.com/yiiqsevenLQqkseven,1
46,"Wishing you a joyful day with great food, wine and company",0
995,"Reading poetry on the subway is magical. ?? Oh, did I mention I'm thinking of you... ??? pic.twitter.com/sixlNdaRZiJb",1
1550,It really needs to start snowing,1
2575,Cant eat. Cant sleep. Everything is just falling to pieces ?? Im so tired of watching my world crumble,1
863,Really wish the gym wasnt closed tomorrow ...,1
2267,I can't even think about football let alone watch it this afternoon,1
234,Forgot my cheese cake at work,1
2684,"My dark side is also part of me. Trying to tolerate my irritation. Guess I need some , but how without feeling guilty in children holiday season",1
1848,I miss my friends and family.,1
1076,Happy man.,0
218,one hundred and fourteen ??????????????????????????????????????????????????????????.......????????????????????????? ?????????w??????????????????w??????????w ??????????????????????????????????????????????????????????????????????two????????????????????????? ????????????????????????????????? ?????????????????????????????????????????????????????? pic.twitter.com/eightJfdnOIDsevenw,0
186,Life's turned out totally different than you thought_You're lost and alone_Desperately Need Help-JesusChristHealsandSavesASK,0
1072,I'm like eighty% with college bull shit,0
1267,How far a lonely person can go. pic.twitter.com/GbdKxgZodH,0
2490,Immature...and Trumpy. Sad one guys Does this represent the intelligence and moral depth of CPC ? bully notinmycanada,1
1673,That dismissal has me looking for a strong drink :(,1
1993,will donors like be prosecuted by FBI Dir for known materialsupport,0
1181,I don't have any gifs to suit my mood for once,1
2330,I saw a sad video and it ruined my whole day. So now I'm drinking a michelada and just bought sixty$ worth of weed,0
971,Crying so muchI fuck up he's just reading my messages,1
733,Packer nation right now...,0
3179,Stuck in traffic prime minister narendra modi visit in pune,1
1176,"I am very sad and I feel more miserable than I can say, and I do not know how far Ive come. I do not know what to do or what to think.",1
326,yeah I watch depressing films like cyberbully because I'm sad and I can connect with it,1
295,"Suffering from serious depression ???? Sucks my plans, times everything ????",1
1934,Not everyone wants to see me happy ????,1
2062,i missed lunch bc i was doing an evaluation and it's wing wednesday,0
1188,So what do you do when your favorite chinese restaurant closes after coming in for ten years? You go into withdrawal.,0
2902,I admit I have been the last twenty-four hrs. I have barely been smiling and just cannot shake it right now.,1
3138,Going over the script for this weekend! Can't wait to start filmming! actorslife ActressLife actress horrorfilm HorrorMovies,0
1935,four days off in a row shld be nice but shittiest holiday in recent yrs. Xmas on Thur not ideal home alone Thxgod delivery,0
1142,"Hewwo, I'm kinda feeling down. I don't think I'm ever going to be noticed as an artist. I promote and such but I'm not sure what would draw attention to others besides requests. Which is fine but I'm not really making a name for myself. And I hate it. pic.twitter.com/eightyZKCDIeightxh",1
267,Thank you! My first solo run! excited andnervous,0
2270,I love Christmas but this year it just isn't the same... I can't figure out what it is either...,0
3198,First Christmas in YEARS that I have to work. it just doesn't feel the same.,0
2374,Featuring grilled halibut with a lime basil crust and a yellow tomato and lobster coulis yummy seafood,0
2701,Not going to Decadence after all,0
1480,We are successful the moment we start toward a laudable goal JBenson success quoteoftheday happiness,0
3161,A word that not many people understand. A word that many people fear. A word that should be spoken about more freely. A word that shouldn't hold any shame. A word with no jokey come backs. DEPRESSION it's not a swear word. It's ok not to be ok,0
1566,Respect breeds cooperation whereas fear breeds doubt. Well said,0
1612,"Making me so happy that I forget to be , and . Thank you, baby ????",1
1723,onest shopping experience with what a disappointment! Product still not shipped ; they might cancel the order now. unhappy,1
2981,What's up w the profile pic??,0
1013,Can't wait to be rid of two thousand and fourteen,1
2930,some things you said kept me up all night.,1
1774,"I always love my family, I always love you as my sister, but not anymore. You are not the same.",0
708,I hate a tease!! First you get my hopes up and then you act like its all fine and then nothing. You just freeze on me and leave me all alone in silence. It so very rude. I hate you Xbox live,0
2486,When you go do that it makes me feel like I'm horrible at it I'm sorry,1
2528,I know can't just go and my will always rear it's ugly head. But I need to get better.,1
1349,"Hate having , feels like I'm on an out of control roller coaster! ??? Keep being told 'snap out of it' - If only it was that easy!",1
1881,Looks like I'm getting super greenied and watching Portlandia,0
1743,Everyday I can't wait to sleep,1
732,Witnessed pure beauty from Ft. Lauderdale SolarEclispetwo thousand and seventeen,0
539,"Finally its time, i have a cuppa n its time to watch what i already know will be an epic ep of Game of Thrones bliss",0
1793,NoBetterFeelingThan teetering right on the edge..\n\njoy pleasure happiness bliss anticipation,0
198,That moment when your depression kicks in even more....,1
57,'I am much more cheerful when you are around',0
2010,Sucks when your alone in a big world :(,1
1878,"nah i jus love carni. the best food, the best music, the best *****, greight vibes with family ; friends. pure",0
1418,Back to work like nothing ever happened,1
1730,Nobody has ever felt as bad I feel today,1
899,and partners in crime. One could lead to the other.Both effective in destroying lives and the spirit of young and old!,0
1375,Every time I fart my dog jumps in fear hahahaha yass,0
2121,Woohoo! Enjoy Claire! Happy Tuesday :D,0
1579,I guess she got tired of her war on Tony that's been raging for about a year.,0
2958,thank you guys! It is a pleasure and an honor to work with you on the expedition %,0
176,Wish I was watching a meaningful game.,0
1093,"Even if I should decide to enter into a new with a new guy, who'd want me now? I'm a , excuse of a person.",1
3027,lexis so beautiful it makes me,0
236,ha ha i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,1
1284,This is why I can never be alone.,0
2261,I've finished a whole jar of nutella in the past hour,0
1897,Christmas and gabe is not with me ???? what is life rn.,0
2480,I made a joke ; my boyfriend laughed but when I looked over he was actually laughing at a video on his phone sad andlt;/three hurting brokenheart,1
333,"People: ""Just exercise, you'll feel better."" Full depressed me: ""k"" *bikes twenty miles* *showers* *curls into a ball and weeps*",1
2346,"""Depression, a strange yet comforting company.",1
2682,"? Today eat healthy food, remember your accomplishments, get some exercise, hang w/ good people and don't be hard on yourself.",0
2712,Man it's terrible when your an got a lot of problems more then you can say.,1
1760,I want some dick. ????,0
1071,"Looking for some beautiful images. Having a really crappy week, and need some support. . Post some great beauty. Thank you.",1
2144,I dont usually feel much...but when i do...it sucks so much,1
874,It takes less muscles to laugh than to frown - stops facial ; mental aging too! Laugh strongly ; often to lead effectively! leadership,0
2813,I am so forlorn there are no words to express it accurately......,1
2487,Any NA gamers out there? Ive got no friends here...,0
836,Well couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints.,0
2128,I wake up everyday wishing i didn't.....,1
1396,I'll just say it: the US has become so corrupt in it's that there is a deep sense of in America,0
1755,My dad *beating my mom* Me in the other room trying to distract my siblings so they can't hear my mom crying: pic.twitter.com/oJDoPeethreeAB,1
1813,how do i get my dad to stop looking at me like something broken that needs fixing,1
2927,"Being clinically is not the same thing as having a bad day now and then. It's a relentless, debilitating disease",1
2764,Feeling bummed out rn. Family is disappointing and friends are too far away. ??,1
2230,"I don't want,to be bother such a screw up",1
174,Before you label yourself as or low make sure you're not simply in fact surrounded by... pic.twitter.com/QrpKeightKnninepR,0
3048,GONNA DRINK A BUNCH OF WHISKEY TONIGHT BECAUSE I HAVE AND THE HOLIDAYS GOT ME JK BUT I AM GONNA DRINK WHISKEY,1
2422,"""bandobssessedm: I deserve every single one of them. pic.twitter.com/KQKxsYthreeKZX""",0
2530,"is the thing which i hate the most and love to live with, for the simple reason that it keeps my mind working and keeps me awake",1
2604,"Despite every attempt, my outpouring of emotions fails to strike substance and falls to the wind dispersing with the world's other particles.",1
3008,"PLANNING FOR THE NEW WEEK ""Failing to plan is planning to fail"". In the last few months, I've allowed my depression to control my ability to function. After three months of meds, I'm finally productive. What your plans for the new week? pic.twitter.com/threeRDItwentyarti",1
1768,We can never allow degradation of self so low by external events that we as human beings ever give up or give in to feeling .,0
11,*sigh* ???? I haven't cried so muchI'm in so much pain,1
3123,"I find it hard today to be grateful for two thousand and fifteen. I had hoped for more progress in my recovery. So, i let you go two thousand and fifteen.",1
2819,I need to cuddle someone sooooo bad!,1
1129,"again, my oldest, only friend.",1
1154,Whats going to happen to my life now .,0
2257,"I have never experienced more of an emotional rollercoaster like I did with my and than I did yesterday. Not since I was at least nineteen. The guilt I feel today for how I treated my child is immense. These disorders are no joke. I'm sorry and I love you, Bug.",1
363,"because I had a dream and I were on springbreak in cancun, woke up and realized I was still in Ohio and it's December???",0
1183,Can people please stop posting pics with their families. Thanks.,1
1189,"I would do one of the friends of two thousand and sixteen lists, only problem is I need friends to make that",1
1366,Not having a good week,1
9,So far he stop texting meafter I said somethingso hopefully he doesn't show up at my house,1
110,"I'd just whip up a cake batter or cookies ; throw it in bakewell, frangipani is made with almonds",0
1633,When all you want to do is spend Christmas w. Your husband and mommy but none of that is possible so I'll drink for the next two days,0
1955,I want peace. A life with no conflict. Do I have to die to find peace? 'suck it up or commit suicide'? Is that my only options?,1
100,Johnny Cash going on day three sleeping in my bed. I must be severely depressed cus he can sense it.,0
2264,Why do i always get treated like this...ugh!!!,1
2995,What does murmuring and complaining do to our psyche? Start thinking of what you have and say thanks you alive,0
2648,", that was the eighties ,,wot we hav now is .",0
1562,You wanna know what is sad? Having a broken family while dealing with a broken heart.,1
2122,Have to get up at fiveam for work. pic.twitter.com/LevUGdTSnP,0
33,"is dangerous. Its addicting. Once you see how peaceful it is, you dont wanna deal with",1
2897,Where I thought I'd be tonight and who I'm with are not what I had in mind for Christmas.,1
607,"i'm just a lil boat in the middle of the ocean: lost, alone, and always getting battered by forces beyond my control",1
2622,Poetry of love .I love you from my heart I love you from my soul I love you real you are in my all things what can I do I'm shy oo,0
376,Spending my last day off in bed rough as hell... And the sun is shining ???,0
3168,"""The Mind may offer you , but the Soul will furnish you with hope, intuitive answers; and solutions""~ Eleesha ?",0
630,Mindfulness Therapy is the application of depression for healing and . This is a very powerful approach once you have learned how to do this.,0
2613,ur all i ever think of.... whyd u have to go.,1
3184,"I am going to try and get some sleep. Not sure if i will be on tomorrow,",1
3002,of course my only follower unfollows,0
1595,I really just can't live life accepting the fact that Chris Pratt is married to someone else,0
2777,Maybe this IT chaebol is future Wang So.,0
2428,Tweet at me some cool madden clips u got,0
2802,I need to get out of this little funk so I can write!! writing funk writerslife depressed,1
830,This was such a great way to start the day lmao,0
1415,"I'm not suicidal. But I admit, there are moments where I wonder...",1
688,oh crap...I lost $one hundred on poker games yesterday :(,1
1351,"for three days, I will improve the landscape of the my game() and make the pause menu with the ability to save and load",0
3013,Those days when you wish a hole would open beneath you and swallow you whole so your brain will shut the hell up,1
1702,I want to leave Depression in two thousand and fifteen! I'm bored of it now. I'm dragging my black dog out for another run,1
584,Apparently a mosquito bit the inside of my thigh and all I can think of is how thats the most action Ive had in months.,1
2277,Watching your video is a good way to remind yourself of why you're,1
150,"Morning! Good vibes today people!! It's July eleven, two thousand and seventeen at nine:zeroAM goodmorning twitter happy",0
1115,this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it ????????? fuck this,1
1639,Am I drinking and being before going into work? Youre damn right I am????,1
1326,Really feel like shouting and throw things. I'm just so vexed.,1
1305,I need friends on here so lonely talking to myself just mad this Twitter and need friends ??,1
188,When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again,1
378,AHHHHHHHHHHHH dread OMFG! It's so good...JoinTeamAlpha,0
3165,man im really one of those bitches who says theyre broke all the time but will spend forty+ dollars on alcohol every weekend sorry Im just,0
2734,My God we live in a sick world!,1
3155,"Being a Debbie Downer is a neglected mental disability. The buzz word is code for lacks resilience, has no faith, fearful.",0
3038,three hours of sleep in the three days? I'm dieing,1
1930,I'm BEYOND entertained and in this case it's a sad thing to witness watch and loving the dms flattered cantdoitlikeme poorthing,0
1742,"Wish I was one of those girls that has a dad that would do anything for them, not a jerk of a sperm donor",1
2709,If I acquire a deadly scowl like that I'm going to be pretty happy to be old,0
1650,"People come and go, but life is simply about seeing who cares enough to stay.",0
2125,Mummy came home and ordered pizza even though there's food in the fridge. I ain't fighting the hypocrisy this time jalepenos pine chicken,0
1675,Right bfour Christmas and bf breaks the news he's not taking me two for my birthday,0
2495,"Hey Angie, please see your local dealer, they're happy to assist! :-)",0
423,Honestly I wouldn't I get why im the last choice for everything ??,1
1272,can depression stop lack of promotion at work??,1
1138,Tweeting about mental illness doesn't make you brave. Having the courage every day to battle an invisible enemy does.,0
1632,I'm running out of time. I don't know what I'm gonna do right now.,1
2053,I wore all black today as metaphor for my state of mind and also for the state of America on this day.,0
125,Happy happy birthday to the girl who never fails to brighten up everyone's day! Thank you for everything! I'll always be here for you.,0
3148,//My TL dies in the afternoons. I've followed about six gazillion people and still get about three tweets an hour.,0
214,tommy you r phenomenal smashed ajjdin on the mixes hilarious and awesome,0
922,They leave you with so many unasked and unanswered questions.... Grandparents sadness myroots abuelitos,1
1835,"Hate seein stories on animal cruelty, why would anyone wanna hurt poor defenceless animals StopAnimalCruelty heartbreaking worldsgoneMad",1
2386,This game in El Paso looks like a high school game,0
651,I think depression and grief and anxiety and so many mental illnesses really are like the ocean. Sometimes it's a great day for swimming and sometimes the waves are knocking you flat. It never fully gets better. But try to hang on to the good days guys. I will too,0
1735,"I Feel sick reading this, when does it end? dread civil war? sad",1
2400,I have uploaded my first article for Keep your eyes open for more recipes nutrition gainz delicious biggestfan,0
2496,"give up on wow , carnt play my mage and carnt even pay to change its class so im stuck with a lvl one hundred mage :(",0
2945,"Sometimes starts from being or . For support and advice call eight hundred and eight eight hundred and eight two thousand, two hundred and thirty-four. rb pic.twitter.com/ieeightcGAUNMv",0
2626,Had a total meltdown on the way home from dinner.,1
360,"Felt good that I was at least able to get my laundry started, but haven't done anything past that. Though I've at least fed myself today. :/",1
627,"Its been fourteen years of journey, I never expect you'll go from this earth today pet's! feeling depressed",1
192,been reading your Twitter this lunchtime... you're very angry aren't you,0
1059,"I'm , , Crying, and just feeling fucking Lousy today. I need a friend today to Perk me up. Hopefully. or least lend a ear.",1
1048,so proud of City...two Bristol boys scoring and a great performance...where's the cider OTIB,0
1482,"It is four:thirty AM, crying baby since one and my missus is tucked up in bed with earplugs. Not her problem...",0
1957,three hundred and sixty-five/three hundred and sixty-five? Another step closer towards death.,1
2434,Mind that night out I had over Christmas?! Nah me either!,0
337,"Live a normal life and have friends and go out and have fun, believe me. But my etc all stop that. Not by choice???",1
1192,Don't let a Season of Sorrow turn into a lifetime of bitterness ~ FearfullyMade GracefullySaved,0
1293,Last Sunday being able to watch the purple and gold for awhile ????,0
1523,"Instead of asking blessing from GOD the Father, remain engaged on pilgrimage of remembrance. Never get tired on spiritual pilgrimage.",0
2619,"sometimes, you need to pretend that everything is okay even its not.",1
2987,????????????????????? Until the Game is officially over. I assume a Loss... Why?? Bylsma and Lehner. ?????????????????????,0
3033,"You want to know why I was laughing? It was a solemn occasion, that's why. And she was always laughing, wasn't she? VSSthree hundred and sixty-five",0
1733,"If you have NEVER experienced , you cant passand shouldnt be passing on decisions people make out of hopelessness and utter desperation. Trust me, I know! to the hopeless, theyll buy it!",0
2147,one hundred and thirty-eight ?????????????????????????????????????????????????????????????????????????????????????????????????two???????????????????????? ????????????....... ????????????????????????two?????????????????????????????????? ???????????????????????????????????????????????????? ??????....... ????????????????????,0
2107,one hundred and thirteen ?????????????????????????????????????????????????????????????????????????????????????? ???????????????????????????????....... ???????????????????????????????????????????????????????????????????????????????????????????? ????????????????????????????????????????????....... ???????????????????????????????,0
1261,"I only miss the memories, not you",1
124,Crying once againI have something repeating in my head over and overI'm crying,1
3036,one hundred and twenty-one ?????????????????????????????????????????????????????????????????????????? ?????????????? ???????????????....... ??????????????????....... ????????????....... ????????????????????????????????? ?????????....... ???????????????????????????????????????????? ??????????????????????????????????????????????,0
1085,OH YEON SO's kdrama is so nice and i am still in awe that she and dara are friends now.. hope they can have kdrama soon!,0
307,So over new years think I'm just going to sleep into the new year.,0
1968,And I'm starting to break down; pic.twitter.com/zeroNkthreeTChkQq,1
808,"Everyone tells me the pain will fade. Maybe I dont want it to, its the only thing that still connects me to you",1
1417,We're just sad teens with a happy face,1
924,"being an entrepreneur at eighteen is a real blessing the flexibility, doing what you love, and being the one in charge is great blessed",0
823,"So after a ten month hiatus, I watch a movie in a multiplex and it's Ugly! Maybe I was better off not watching any.",0
139,Seriously...I've been sitting here for five minutes watching this in awe. It never gets less amazing.,0
1088,One day everything will end. It is inevitable but for the love of god why did it have to be my quesarito from taco bell,0
1576,When your idol Julius is murdered by senators...,0
2104,Hey Andy Van Dyke Thanks for the recent follow! Happy to connect :) Look forward to your next interesting posts.,0
1046,It's so sad when you talk so highly of someone then they end up disappointing u and making u look like a pendeja,1
530,I feel so fucking alone tonight I just don't even care about living right now.,1
3068,I wish life was simple and painless. Whenever you think you're happy and think you got it all life comes and screws you over.,1
2886,"You keep losing your self respect , if u keep giving them chances.??",0
1572,"Despite the weather we are having, we shall be at the stall with hot food and drinks on Saturday. Come and say hello to the team",0
2786,so I scrolled back up on the 'seventeen GC because I missed it earlier and man you toooooooooo funny hilarious headassss!!!,0
419,"I made this account so that I wouldn't be judged by the people I know. Cause if I don't like me, why would anyone else?",1
1799,Happy New Year from ! We hope it is a year filled with joy and that we can work together to tackle in Australia pic.twitter.com/zMsgPqkfbi,0
1680,"Oh yeah, it feels so good to be alive and alone here in my joint! Thank God! excitement",0
3097,we mourn the death of our hopes today james,1
1629,"this is one of those nights where I just want to get in my truck and drive, and think. .? ????",0
2799,Crying with a loud music so no one could hear me,1
2724,Me and Cj just broke up,1
2295,What I have to say about not posting since September is NEVER try suicide. Life is so worth so much more than a handful of pills.,1
23,Very sad day in Edmonton! Praying for all who lost their lives.,1
63,Me too.....without hesitation.,0
1611,this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it ?????????,1
1899,Made my day. Thankyou very much!! ...,0
552,my eight year old cousin stopped sharing her location with me,0
2773,"I was smiling yesterday, i'm smiling today, i'll smyl tomorrow, bcoz lyf s too short to cry for anything, we nid to be strong.",0
2082,"Ending the year the same way it started, depressed. Here's to a happier, more positive year!",1
2676,Back in the toon ??? Get me home and into bed???,0
2387,"EAHelp: mcmalveiro Hi Miguel, that's awesome! Thank you very much for updating us! -Claire",0
2450,"A day saturated with and . Brutal. Oh, the human mind. What an enemy.",1
2262,My dark heart is filled with glee whenever I hear thunder.,0
2960,hate being alone man. alone in life alone in my head it just sucks,1
1315,In my feelings tonite . tired,1
2661,This kind of abuse is UNBELIEVABLE and an absolute disgrace. It makes me sad to see this dismayed,1
1536,Temp dropped ...sky dark n our birds went crazy in pdx we enjoyed SolarEclipsetwo thousand and seventeen amazing,0
623,never had a dull moment with u guys,0
1766,When Austin lets u take a rest day tears happy crying amazing bestdayever kindasad cantfeelmyarms actuallydieing,0
2097,"If someone has the courage and trust to share their struggles of or ideation with you, PLEASE, please be there to listen and support them! You may be the only person with whom they've been able to open up to. It's not easy to reach out!",0
1559,U know what's very pathetic? The fact that I dearly miss my professors but they probably forgot about me already. sad :(,1
639,is my least favorite thing about life.... pic.twitter.com/JZoErLIrgZ,1
2174,I don't think I wanna see for awhile Disney you went to far with the feels.. and I thought Brother Bear was bad,0
467,Need to get out of this godforsaken place,1
145,Take photographs of life and write them in journals motivation inspiration life love inspire smile quotestoliveby,0
3109,awe sorry na,0
2983,It's okay sus. Let that hurt go * that's me hugging ya bitter ass *,0
940,And the big black dog sat beside me and reminded me about ALL the pain and how chronic pain worksfour whole year ahead pic.twitter.com/sixrUeGHannineB,1
2253,"i hate getting so sad to the point where my body completely shuts down, and all i can do is just lay and think about all my problems.",1
609,"I'm not picky, guys are just intimidated by me... and I don't let dudes run over me or run my life and finances. If u can't respect that bye",0
1843,one hundred and thirty-seven ???????????????????????????????????????????????????????????w ????????????????????????????????????????????????ww ??????????????????????????????????????????????????????????? ???????????????????????????????????????????????????????????????w ??????????????????????? ??????????????????w,0
2188,The Hate U Give shows hopelessness when Maverick is thrown onto the road by police without reason and is searched multiple times while his kids have to watch the police abuse their power because they can,0
2031,Feeling depressed. Need to find who i am and job wise,1
1062,No one can provoke you. No one can make you happy or unhappy. You are the one in control.,0
3018,Do not judge between people when you are .,0
2014,So funny!!!!!!!!! lol clever,0
322,"Feeling okish one minute then ?? for no reason what's so ever. Psychiatrist was right chronic depression gives no warnings, mood just dips when it feels like it. Top it off anxiety is at a high too.",1
1308,"Trump wants to make America great again and guest what, he asks obama's Kenyan-born half brother for help",0
1815,I'm sad/depressed again and it's my fault for not changing it.,1
2826,This month has had to be the worst month out of this year,1
1032,"The world I was raised in there is no give in take just take,take,take,take,take,take,take,take even when you don't think you have anything left to give the world wants that to. I could go for some positive vibes today.",1
20,"No, I'm not 'depressed because of the weather,' I'm depressed because I have depression sicknotweak",1
2177,No one changed the radio station in the office. It's still on Christmas music. ???,0
2503,I just feelso defeated by life at the moment,1
2956,"Out of the many terrible things that come with divorce, folding king size sheets alone is close to the top.",1
98,awesome news for the blues,0
2665,xmas is over and apart from my kids happy faces its all been a bit meh this year.,1
2115,fans gamers what you think eighteen is going to rate the Dolphins offense defense special teams rating ; rank out of thirty-two teams,0
2540,I'm starting to wonder if is actually looking out for me right now. I would say why but I'm too embarrassed. I'm two low class,1
2900,Macron slips up and has a moment of clarity ; common sense...now he is a raging racist. Sounds right. LiberalLogic,0
2252,"i did, i cried from laughter way too much HAHAHAHAHHAHAHAHAAHGAHAHA",0
1307,Less than an hour into the year and someone has already upset me. Just put me down ???,0
1444,Phone ring at anytime now . ????,1
2320,Im so fuckin upset rn. Not coming back to twitter for a while. Im so fucking done with everything rn. This sucks.,1
3057,When your at work and the button comes off your shorts fatty,0
1937,"There's a moment na I'm not happy anymore. Even if I have a bit of freedom, cars, money, gadgets, I can't help it.",0
650,Not looking forward to New Years Eve. Going to be alone. Makes me depressed just thinking about it.,1
841,It's only forty minutes before the arrives an the months begin. Look after yourselves and others speak about your problems pic.twitter.com/gDHivIsevenEAN,0
1255,I've slept the better part of two days away .,1
1688,I can not watch on my lunch anymore. I am laughing way too much by myself for this to be acceptable. crazylady,0
204,A boo would be nice but nobody loves me ????,1
2362,"""AUTISM AND DEPRESSION"" ... I hate it when I get the feels... If you suffer from autism, you'll probably get this image... pic.twitter.com/rzthreezmMaKninea",1
838,Well it's New Year's Eve now???? tbf I don't wanna celebrate it ever again :'( never EVER happy on NYE ???,1
230,one hundred and six ?????????????????????????????????????????????????????????????????????????????????????????????????????????????? ???????????? ??????????????????????????????????????????????????? ?????????????? ?????????????????????????????????????????? ??????....... ????????????????????,0
2519,"-whatever life gives you even if it hurts, just be strong and act the way you always do because strong walls shake but never collapse",0
3145,It's very hard to feel better because it's been so long that I don't remember what better felt like!!,1
520,I feel like I dont have a purpose in life.,1
1259,still feeling like crap. havent had a good christmas in quite a few years,1
2931,people: Dream three times more than -depressed people.,0
2874,When you finally realize your dreams may not happen...????????????,1
1001,"Man, if you can laugh and be silly with your family ; friends, that is enough. That is life. laughter goofiness silly",0
2445,Now playing - on Forever Hits,0
